fare_id,price,currency_type,payment_method,transfers,agency_id,transfer_duration
F_500_pay_on_entry,500,JPY,0,0,2000020261009,
F_230,230,JPY,0,0,2000020261009,
01804_230,230,JPY,0,0,2000020261009,
01900_230,230,JPY,0,0,2000020261009,
02001_230,230,JPY,0,0,2000020261009,
02002_230,230,JPY,0,0,2000020261009,
02041_230,230,JPY,0,0,2000020261009,
02042_230,230,JPY,0,0,2000020261009,
02200_230,230,JPY,0,0,2000020261009,
0229E_230,230,JPY,0,0,2000020261009,
02300_190,190,JPY,0,0,2000020261009,
02300_210,210,JPY,0,0,2000020261009,
02300_230,230,JPY,0,0,2000020261009,
02300_270,270,JPY,0,0,2000020261009,
02300_310,310,JPY,0,0,2000020261009,
02300_330,330,JPY,0,0,2000020261009,
02900_190,190,JPY,0,0,2000020261009,
02900_200,200,JPY,0,0,2000020261009,
02900_210,210,JPY,0,0,2000020261009,
02900_230,230,JPY,0,0,2000020261009,
02900_270,270,JPY,0,0,2000020261009,
02900_280,280,JPY,0,0,2000020261009,
02900_290,290,JPY,0,0,2000020261009,
02900_300,300,JPY,0,0,2000020261009,
02900_310,310,JPY,0,0,2000020261009,
02900_330,330,JPY,0,0,2000020261009,
03300_190,190,JPY,0,0,2000020261009,
03300_210,210,JPY,0,0,2000020261009,
03300_230,230,JPY,0,0,2000020261009,
03300_270,270,JPY,0,0,2000020261009,
03300_310,310,JPY,0,0,2000020261009,
03300_330,330,JPY,0,0,2000020261009,
03303_190,190,JPY,0,0,2000020261009,
03303_210,210,JPY,0,0,2000020261009,
03303_230,230,JPY,0,0,2000020261009,
03303_270,270,JPY,0,0,2000020261009,
03303_310,310,JPY,0,0,2000020261009,
03303_330,330,JPY,0,0,2000020261009,
04200_190,190,JPY,0,0,2000020261009,
04200_230,230,JPY,0,0,2000020261009,
04200_260,260,JPY,0,0,2000020261009,
06900_190,190,JPY,0,0,2000020261009,
06900_200,200,JPY,0,0,2000020261009,
06900_220,220,JPY,0,0,2000020261009,
06900_230,230,JPY,0,0,2000020261009,
06900_250,250,JPY,0,0,2000020261009,
06900_260,260,JPY,0,0,2000020261009,
06900_270,270,JPY,0,0,2000020261009,
06900_280,280,JPY,0,0,2000020261009,
06900_300,300,JPY,0,0,2000020261009,
07000_190,190,JPY,0,0,2000020261009,
07000_200,200,JPY,0,0,2000020261009,
07000_210,210,JPY,0,0,2000020261009,
07000_220,220,JPY,0,0,2000020261009,
07000_230,230,JPY,0,0,2000020261009,
07000_260,260,JPY,0,0,2000020261009,
07000_270,270,JPY,0,0,2000020261009,
07000_330,330,JPY,0,0,2000020261009,
08003_230,230,JPY,0,0,2000020261009,
08003_260,260,JPY,0,0,2000020261009,
08100_230,230,JPY,0,0,2000020261009,
0819B_230,230,JPY,0,0,2000020261009,
S0100_190,190,JPY,0,0,2000020261009,
S0100_230,230,JPY,0,0,2000020261009,
S0100_260,260,JPY,0,0,2000020261009,
S0100_280,280,JPY,0,0,2000020261009,
S0100_300,300,JPY,0,0,2000020261009,
S0104_190,190,JPY,0,0,2000020261009,
S0104_230,230,JPY,0,0,2000020261009,
S0104_260,260,JPY,0,0,2000020261009,
S0104_280,280,JPY,0,0,2000020261009,
S0200_230,230,JPY,0,0,2000020261009,
S0200_240,240,JPY,0,0,2000020261009,
S0200_290,290,JPY,0,0,2000020261009,
S0300_230,230,JPY,0,0,2000020261009,
S038A_230,230,JPY,0,0,2000020261009,
S0500_230,230,JPY,0,0,2000020261009,
S0800_230,230,JPY,0,0,2000020261009,
S0883_230,230,JPY,0,0,2000020261009,
W0100_190,190,JPY,0,0,2000020261009,
W0100_210,210,JPY,0,0,2000020261009,
W0100_270,270,JPY,0,0,2000020261009,
W0200_190,190,JPY,0,0,2000020261009,
W0200_210,210,JPY,0,0,2000020261009,
W0200_270,270,JPY,0,0,2000020261009,
W029D_190,190,JPY,0,0,2000020261009,
W029D_210,210,JPY,0,0,2000020261009,
W029D_270,270,JPY,0,0,2000020261009,
W0300_190,190,JPY,0,0,2000020261009,
W0300_210,210,JPY,0,0,2000020261009,
W0300_270,270,JPY,0,0,2000020261009,
W0393_190,190,JPY,0,0,2000020261009,
W0393_210,210,JPY,0,0,2000020261009,
W0393_270,270,JPY,0,0,2000020261009,
W039D_190,190,JPY,0,0,2000020261009,
W039D_210,210,JPY,0,0,2000020261009,
W039D_270,270,JPY,0,0,2000020261009,
W0403_190,190,JPY,0,0,2000020261009,
W0403_210,210,JPY,0,0,2000020261009,
W0403_270,270,JPY,0,0,2000020261009,
W049D_190,190,JPY,0,0,2000020261009,
W049D_210,210,JPY,0,0,2000020261009,
W049D_270,270,JPY,0,0,2000020261009,
W049E_190,190,JPY,0,0,2000020261009,
W049E_210,210,JPY,0,0,2000020261009,
W049E_270,270,JPY,0,0,2000020261009,
W0500_190,190,JPY,0,0,2000020261009,
W0500_210,210,JPY,0,0,2000020261009,
W0500_270,270,JPY,0,0,2000020261009,
W0593_190,190,JPY,0,0,2000020261009,
W0593_210,210,JPY,0,0,2000020261009,
W0593_270,270,JPY,0,0,2000020261009,
W0600_190,190,JPY,0,0,2000020261009,
W0600_210,210,JPY,0,0,2000020261009,
W0600_270,270,JPY,0,0,2000020261009,
W0693_190,190,JPY,0,0,2000020261009,
W0693_210,210,JPY,0,0,2000020261009,
W0693_270,270,JPY,0,0,2000020261009,
W0800_190,190,JPY,0,0,2000020261009,
W0800_210,210,JPY,0,0,2000020261009,
W0800_270,270,JPY,0,0,2000020261009,
W0900_180,180,JPY,0,0,2000020261009,
W0900_190,190,JPY,0,0,2000020261009,
W0900_200,200,JPY,0,0,2000020261009,
W0900_210,210,JPY,0,0,2000020261009,
W0900_230,230,JPY,0,0,2000020261009,
W0900_240,240,JPY,0,0,2000020261009,
W0900_260,260,JPY,0,0,2000020261009,
W0900_270,270,JPY,0,0,2000020261009,
W0900_290,290,JPY,0,0,2000020261009,
W0900_340,340,JPY,0,0,2000020261009,
W0900_370,370,JPY,0,0,2000020261009,
